id,title,description,link,image_link,availability,condition
gamla-goda-rugbraudstertan,Traditional rye bread cake – Gamla góða rúg­brauðstertan,"I love rúgbrauð, that heavy, sweet, moist Icelandic rye bread. It tastes so delicious - and you can also use it for other things, like a rye bread cake. Here on the blog, I've already tried and presented various typical Icelandic rye bread cakes - today I have another recipe for you. I found this recipe online, in an old article in the magazine Morgunblaðið from December 1967. For the cake, apart from the Rúgbrauð, you mainly need eggs, sugar, some flour and a bit of potato flour, and the filling consists of cream, bananas, apples and grated chocolate. Since I didn't want to bake Icelandic rye bread specifically for the cake in Germany, I used pumpernickel for the recipe and I think the result is really good!
#icelandicrecipes #nordickitchen #iceland #yummyiceland #dessert #icelandiccuisine",https://yummy-iceland.blogspot.com/2025/05/gamla-goa-rugbraustertan.html,https://islandmarkus.github.io/yummy-pins/pins/gamla-goda-rugbraudstertan.jpg,in stock,new
mondluterta-med-gulu-kremi,Almond cake with yellow cream – Möndluterta með gulu kremi,"It is not really certain whether this cake originally comes from Norway or Sweden. This Nordic almond cake, also known in Norway as ""suksessterte"" (= ""success cake""), is a sweet cake that traditionally consists of two cake layers made of almond flour or ground almonds and a yellow cream based on cream and egg. The top of the cake is often decorated with chocolate, cocoa, almond flakes, etc.
#icelandicrecipes #nordickitchen #iceland #yummyiceland #dessert #pastries",https://yummy-iceland.blogspot.com/2025/05/mondluterta-me-gulu-kremi.html,https://islandmarkus.github.io/yummy-pins/pins/mondluterta-med-gulu-kremi.jpg,in stock,new
mjolkurhristingur-med-jardarberjum,Milkshake with strawberries – Mjólkurhristingur með jarðarberjum,"Are you craving summer in a glass? And a cool, fruity refreshment? We are too! At least I enjoy that every now and then! In our new cookbook ""Icelandic Strawberry Recipes"", you'll find this recipe for a delicious, creamy strawberry milkshake with fresh strawberries, vanilla ice cream, and milk, and a dollop of whipped cream on top, if desired, in the ""Strawberries in jars and glasses"" section.
#icelandicrecipes #nordickitchen #iceland #yummyiceland #dessert #drinks",https://yummy-iceland.blogspot.com/2025/05/mjolkurhristingur-me-jararberjum.html,https://islandmarkus.github.io/yummy-pins/pins/mjolkurhristingur-med-jardarberjum.jpg,in stock,new
berjasupa,Berry soup – Berjasúpa,"After it was relatively warm in the capital area beginning of last week, winter came back on Thursday (May 8th). There was a yellow weather warning, with winds of up to 15 m/s warning of sleet, snowfall and slush. The Icelandic Weather Service warns that poor visibility, blizzards and slush must be expected, particularly on mountain roads such as Hellisheiði. Maybe a warm berry soup is just the thing! If you like, you can serve the berry soup with a dollop of cream or fragrant rusks. PS: Instead of white wine, as stated in the recipe, I used white grape juice for our berry soup, it also tasted very good.
#icelandicrecipes #nordickitchen #iceland #yummyiceland #icelandiccuisine #soup",https://yummy-iceland.blogspot.com/2025/05/berjasupa.html,https://islandmarkus.github.io/yummy-pins/pins/berjasupa.jpg,in stock,new
iskold-jardarberjasupa,Ice cold strawberry soup with frozen skyr – Ísköld jarðarberjasúpa,"This cold strawberry soup with frozen skyr cubes is ideal as a light, fresh main course or as a dessert in warm temperatures. The quantity is enough for 2 portions as a main course and for 4 portions as a dessert. The recipe here is my current favorite recipe from our new book ""Icelandic Strawberry Recipes"" on hot days. Personally, it's always particularly fun for me when I can compare old food photos of myself from the beginning of the blog with photos that I'm currently taking while revising my old recipes. Then I'm proud of the development I've made since then!
#icelandicrecipes #nordickitchen #iceland #yummyiceland #dessert #icelandiccuisine",https://yummy-iceland.blogspot.com/2025/05/iskold-jararberjasupa.html,https://islandmarkus.github.io/yummy-pins/pins/iskold-jardarberjasupa.jpg,in stock,new
salat-med-mozzarella-jardarberjum-og-stokkri-skinku,"Salad with mozzarella, strawberries and crispy ham – Salat með mozzarella, jarðarberjum og stökkri skinku","Even though our new strawberry cookbook has been written for a while, we are somehow still in strawberry mode - and so for our wedding anniversary last week I picked out and tried out new Icelandic strawberry dishes as a special dinner. The main course was this salad with strawberries, mozzarella, avocado and crispy ham. For the children there was also a herb baguette with the salad, so that everyone involved was full!
#icelandicrecipes #nordickitchen #iceland #yummyiceland #meat #sidedish",https://yummy-iceland.blogspot.com/2025/04/salat-me-mozzarella-jararberjum-og.html,https://islandmarkus.github.io/yummy-pins/pins/salat-med-mozzarella-jardarberjum-og-stokkri-skinku.jpg,in stock,new
skyrmus-med-kokum-og-berjasosu,Skyr mousse with cookies and berry sauce – Skyrmús með kökum og berjasósu,"This is currently my absolute favorite skyr dessert recipe - with pure skyr, whipping cream and white chocolate. And add sugar with freshly grated lemon peel - the smell alone is wonderful! I only recently learned about the recipe and have ""cooked it"" twice since then because I find it so delicious!
#icelandicrecipes #nordickitchen #iceland #yummyiceland #dessert #skyr",https://yummy-iceland.blogspot.com/2025/04/skyrmus-me-kokum-og-berjasosu.html,https://islandmarkus.github.io/yummy-pins/pins/skyrmus-med-kokum-og-berjasosu.jpg,in stock,new
laxasalat-med-rjomaosti,Salmon salad with cream cheese – Laxasalat með rjómaosti,"On Easter Sunday we had a very cozy brunch with friends at our house, everyone brought something with them and so we were able to feast practically all day and even sit outside on the terrace in the bright sunshine in the afternoon and celebrate. Since salmon is part of Easter for me, I contributed a salmon salad with cream cheese to our brunch, a laxasalat með rjómaosti . I think the salad tasted very good, nice and fresh and crunchy. A friend took the rest of the salad with her because she also found it so delicious, which made me very happy. So today I rushed to post the recipe for the salmon salad here on the blog.
#icelandicrecipes #nordickitchen #iceland #yummyiceland #easter #fish",https://yummy-iceland.blogspot.com/2025/04/laxasalat-me-rjomaosti.html,https://islandmarkus.github.io/yummy-pins/pins/laxasalat-med-rjomaosti.jpg,in stock,new
braudterta-med-reyktum-laxi-og-eggjum,Bread cake with smoked salmon and eggs – Brauðterta með reyktum laxi og eggjum,"What the Swedes have their ""smörgåstårta"" is to the Icelanders their ""brauðterta"". In Iceland, you can traditionally find such hearty bread cakes with mayonnaise, lots of mayonnaise and even more mayonnaise between sweet pastries at many buffets, from celebrations with friends and family gatherings to funerals and company events. The white bread for the typical Icelandic Brauðterta is bought frozen in 650 g packs from the supermarket, left to thaw in the fridge overnight and then prepared the cake the next day. It is similar to bread for toasting, but sliced horizontally instead of vertically.
#icelandicrecipes #nordickitchen #iceland #yummyiceland #bread #fish",https://yummy-iceland.blogspot.com/2025/04/brauterta-me-reyktum-laxi-og-eggjum.html,https://islandmarkus.github.io/yummy-pins/pins/braudterta-med-reyktum-laxi-og-eggjum.jpg,in stock,new
gulrotar-muffur-med-rjomaostafyllingu,Carrot muffins with cream cheese filling – Gulrótar múffur með rjómaostafyllingu,"My daughter's absolute favorite cake is carrot cake with cream cheese topping, very tasty and looks great as a multi-tiered, opulent cake. This is basically the smaller everyday equivalent, these carrot muffins with cream cheese filling and crunchy sprinkles on top. Also very tasty! The recipe is enough for approx. 18 muffins.
#icelandicrecipes #nordickitchen #iceland #yummyiceland #cookies #pastries",https://yummy-iceland.blogspot.com/2025/03/gulrotar-muffur-me-rjomaostafyllingu.html,https://islandmarkus.github.io/yummy-pins/pins/gulrotar-muffur-med-rjomaostafyllingu.jpg,in stock,new
iceland-chocolate,Iceland chocolate,"Now that the hype about Dubai chocolate seems to be over, maybe I have something new for you - how about Iceland chocolate? My husband surprised me with this very special Icelandic chocolate for my birthday. A tribute to the flavors of the north Just for fun, we thought about what would be “typically Icelandic” and what we could put in the chocolate. Finally we came up with licorice, dried fish and seaweed, maybe a little bit of sea salt..? Because I can't easily find these
#icelandicrecipes #nordickitchen #iceland #yummyiceland",https://yummy-iceland.blogspot.com/2025/03/iceland-chocolate.html,https://islandmarkus.github.io/yummy-pins/pins/iceland-chocolate.jpg,in stock,new
sitronu-bollakokur,Lemon cupcakes – Sítrónu bollakökur,"In Icelandic, muffins are usually referred to as ""múffur"". However, there is also the word ""bollakaka"", meaning ""cup cake"", in English ""cupcake"" - a small cake the size of a cup. After baking, such a “mug cake” is decorated with an icing or an opulent cream topping. In contrast to classic muffins, cupcakes are also made from batter, but they usually do not contain any nuts or spices and the icing or topping is complex. Spring is coming - and I felt like it was fresh, fruity and colorful! This turned into these lemon muffins, with a little yellow food coloring for a more colorful glaze. Of course, you can also leave out the food coloring - or go wild and make really colorful muffins, just as you like!
#icelandicrecipes #nordickitchen #iceland #yummyiceland #pastries",https://yummy-iceland.blogspot.com/2025/03/sitronu-bollakokur.html,https://islandmarkus.github.io/yummy-pins/pins/sitronu-bollakokur.jpg,in stock,new
lummur-med-jardarberjum,Icelandic pancakes with strawberries – Lummur með jarðarberjum,"In Iceland there are two types of pancakes: the larger, very thin pancakes (pönnukökur) and then smaller, thick pancakes (lummur). What is typical for Icelandic pancakes is that the fat is added directly to the dough, but the pancakes are then baked in the pan without fat. Icelanders like to eat pancakes with coffee, but they are also perfect for a leisurely, late breakfast - especially with cream and fresh fruit.
#icelandicrecipes #nordickitchen #iceland #yummyiceland #dessert #pastries",https://yummy-iceland.blogspot.com/2025/02/lummur-me-jararberjum.html,https://islandmarkus.github.io/yummy-pins/pins/lummur-med-jardarberjum.jpg,in stock,new
smaterta-i-afmaelisgjof,Small cake as a birthday present – Smáterta í afmælisgjöf,"Last week it was a special friend's birthday and we celebrated here at the Island House. The birthday child took over all of the culinary care, but as a little surprise I baked this little cake. I had already baked this birthday cake (afmæliskaka) ""in large"" for my husband's birthday in 2023. Now I spontaneously baked it again “in small size”. I had previously bought a mini springform pan with a diameter of 5 inches (12 cm). The result...? Small, tasty and really makes a nice visual impression! And if you don't have a birthday coming up in the near future - next Sunday on February 23rd this year is konudagurinn, Icelandic Women's Day. Maybe that would be a nice opportunity...?
#icelandicrecipes #nordickitchen #iceland #yummyiceland #dessert #pastries",https://yummy-iceland.blogspot.com/2025/02/smaterta-i-afmlisgjof.html,https://islandmarkus.github.io/yummy-pins/pins/smaterta-i-afmaelisgjof.jpg,in stock,new
salat-med-jardarberjum-og-fraejum,Salad with strawberries and seeds – Salat með jarðarberjum og fræjum,"Friday is Valentine's Day (February 14th). And for many, strawberries are very romantic fruits. The intense color red alone makes you want more. Strawberries are also considered “natural aphrodisiacs” because of their high vitamin C and zinc content. I don't know whether this can be measurably proven, but strawberries are definitely healthy, support the immune system and protect against cardiovascular diseases with their secondary plant substances and have an anti-inflammatory effect. Although they taste so sweet, strawberries are very low in fructose and calories (around 33 kcal per 100 g) and contain more vitamin C than oranges or lemons. Just around 200 g of strawberries cover an adult's average daily vitamin C requirement. Plus, strawberries taste and smell so good!
#icelandicrecipes #nordickitchen #iceland #yummyiceland #sidedish",https://yummy-iceland.blogspot.com/2025/02/salat-me-jararberjum-og-frjum.html,https://islandmarkus.github.io/yummy-pins/pins/salat-med-jardarberjum-og-fraejum.jpg,in stock,new
graenmetis-skyrdrykkur,Vegetable skyr drink – Grænmetis skyrdrykkur,"My husband continues to try to live as healthily as possible - and I do my best to support him. Here I came across a recipe for a skyr drink with lots of vegetables - with cucumber, peppers, small tomatoes and nice hot chili flakes. However, my husband's first comment about this vegetable skyr drink was: ""Oh, that tastes healthy!"" But after a few sips he finally found the drink to be quite tasty, nice and fresh and nice and spicy, thanks to the chili flakes.
#icelandicrecipes #nordickitchen #iceland #yummyiceland #drinks #skyr",https://yummy-iceland.blogspot.com/2025/02/grnmetis-skyrdrykkur.html,https://islandmarkus.github.io/yummy-pins/pins/graenmetis-skyrdrykkur.jpg,in stock,new
ostakaka-i-glasi,Cheesecake in a glass – Ostakaka í glasi,"I love cheesecake. And I love simple, quick recipes that are suitable for everyday use. This recipe for a “no-bake cheesecake in a glass” is just perfect for me. It's also great to prepare when you're expecting guests and also makes a good visual impression.
#icelandicrecipes #nordickitchen #iceland #yummyiceland #dessert",https://yummy-iceland.blogspot.com/2025/02/ostakaka-i-glasi.html,https://islandmarkus.github.io/yummy-pins/pins/ostakaka-i-glasi.jpg,in stock,new
